Observation,Energy
50001,69.08998661512612
50002,100.01505493721555
50003,98.4199242836747
50004,87.85518922276869
50005,50.21088721319294
50006,79.3221834273373
50007,156.13941925494882
50008,44.17348518514746
50009,172.82090184742722
50010,35.322091682679236
50011,35.020690470588384
50012,68.28380325582476
50013,46.00193321367103
50014,86.27455016677862
50015,55.357094812163645
50016,102.485666043389
50017,47.15760993162016
50018,431.687875280562
50019,34.50558149758151
50020,89.74188979293586
50021,67.49319409418855
50022,246.35130244523947
50023,124.17949993165378
50024,56.852167511472736
50025,40.00793559158413
50026,56.60053887637867
50027,230.70751212194392
50028,380.4933493096937
50029,42.4134435277971
50030,54.474432141610855
50031,54.91793689588064
50032,110.53641535712909
50033,56.686635719615836
50034,51.638636265645076
50035,174.7351152907951
50036,31.843587314388213
50037,51.09380503696091
50038,66.37413138482154
50039,92.97569864475182
50040,48.643077742516894
50041,56.92513368907172
50042,56.679137857404655
50043,60.57892336819991
50044,92.90767239449505
50045,86.74378597569205
50046,15.715715338098978
50047,70.32770523663241
50048,55.54450900111483
50049,37.60744146498014
50050,105.70020111516997
50051,143.61157184370535
50052,43.49272913240109
50053,94.39625142819033
50054,364.8681923885312
50055,151.18445651836043
50056,48.436120599145134
50057,52.873258549598745
50058,122.61338982852791
50059,40.63595311122549
50060,402.1527276298551
50061,45.74663855819228
50062,36.80078547635986
50063,45.5253470183443
50064,90.61269294205239
50065,47.63897010468493
50066,90.5723199445674
50067,87.06251884824356
50068,37.891309434454286
50069,205.2257273760123
50070,58.68884899375203
50071,135.88792750258142
50072,184.80255761507672
50073,120.24944020499858
50074,38.92825575553829
50075,43.34182306960245
50076,46.800075531789965
50077,47.101863805202896
50078,94.09408929683049
50079,107.31149522557249
50080,56.855053948328106
50081,42.20699081125284
50082,67.38739429265722
50083,51.6555507755292
50084,39.41601440453502
50085,55.432673613646486
50086,64.64508282205243
50087,155.36659207450046
50088,54.19226333720647
50089,19.54989706705307
50090,178.66128804669924
50091,56.719194677775455
50092,67.93551752889701
50093,129.4777183772906
50094,250.5626767843965
50095,47.431653123450694
50096,68.00622809307187
50097,40.193411964448856
50098,54.332626521256955
50099,93.39085515507338
50100,129.32554410419488
50101,16.43884022138719
